14:44;HS513;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
14:44;W25149;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
14:45;LG8256;Luxembourg (LUX);Luxair ;B738 (LX-LBB) ;Departed 14:52;Departure
14:45;LX569;Zurich (ZRH);Swiss ;BCS3 (HB-JCM) ;Departed 15:08;Departure
14:45;W25151;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
14:50;LH1061;Frankfurt (FRA);Lufthansa ;A320 (D-AIZO) ;Departed 14:59;Departure
14:55;U24066;Paris (ORY);easyJet ;A320 (G-EZRP) ;Departed 15:00;Departure
15:00;AF6221;Paris (ORY);Air France ;A319 (F-GRHX) ;Departed 15:02;Departure
15:05;OS426;Vienna (VIE);Austrian Airlines ;A320 (OE-LBW) ;Departed 15:07;Departure
15:05;U21645;Brussels (BRU);easyJet ;A20N (G-UZHO) ;Departed 15:17;Departure
15:13;HS514;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
15:14;HS515;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
15:14;W25153;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
15:15;AZ345;Rome (FCO);Alitalia ;E75S (EI-RDG) ;Departed 15:18;Departure
15:15;W25155;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
15:25;AF6223;Paris (ORY);Air France ;A319 (F-GRHE) ;Departed 15:29;Departure
15:25;BA345;London (LHR);British Airways ;A319 (G-EUOG) ;Departed 16:01;Departure
15:35;SN3622;Brussels (BRU);Brussels Airlines ;A319 (OO-SSL) ;Departed 16:05;Departure
15:40;U21689;Marrakesh (RAK);easyJet ;A320 (OE-IVT) ;Departed 15:47;Departure
15:43;HS516;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
15:44;HS517;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
15:44;W25157;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
15:45;W25159;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
15:55;EK78;Dubai (DXB);Emirates ;A388 (A6-EUM) ;Departed 16:10;Departure
16:05;AF6225;Paris (ORY);Air France ;A320 (F-HBNC) ;Departed 16:06;Departure
16:13;HS518;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
16:14;HS519;Monte Carlo (MCM);Heli Securite ;NDE ;Unknown;Departure
16:14;W25161;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
16:15;QR54;Doha (DOH);Qatar Airways ;B788 (A7-BCW) ;Departed 16:19;Departure
16:15;W25163;Monte Carlo (MCM);Flexflight ;EC3 ;Unknown;Departure
16:20;EI545;Dublin (DUB);Aer Lingus ;A320 (EI-EDS) ;Departed 16:48;Departure
