13:35;U2842;Belfast (BFS);easyJet ;A320 (G-EZUZ) ;Blabla;Arrival
13:35;U28994;Prague (PRG);easyJet ;A319 (G-EZEN) ;Blabla;Arrival
13:40;BA2679;Dubrovnik (DBV);British Airways ;A320 (G-MIDX) ;Blabla;Arrival
13:40;U28662;Alicante (ALC);easyJet ;A320 (OE-IZL) ;Blabla;Arrival
13:40;U28824;Luqa (MLA);easyJet ;A320 (G-EZOI) ;Blabla;Arrival
13:45;MT1461;Kefalonia (EFL);Thomas Cook Airlines (I ? Cook's Club Livery) ;A321 (G-TCDV) ;Blabla;Arrival
13:45;U28382;Kalamata (KLX);easyJet (NEO Livery) ;A20N (G-UZHD) ;Blabla;Arrival
13:50;BA2545;Alicante (ALC);British Airways ;A320 (G-EUUJ) ;Blabla;Arrival
13:50;U28576;Barcelona (BCN);easyJet (250th Airbus Livery) ;A320 (OE-IJB) ;Blabla;Arrival
13:50;VY7826;Barcelona (BCN);Vueling ;A321 (EC-MMU) ;Blabla;Arrival
13:55;BA2725;Ibiza (IBZ);British Airways ;A320 (G-MIDY) ;Blabla;Arrival
13:55;U28082;Athens (ATH);easyJet ;A21N (G-UZMB) ;Blabla;Arrival
14:00;DI7096;Los Angeles (LAX);Norwegian ;B789 (G-CKWC) ;Blabla;Arrival
14:00;DY7096;Los Angeles (LAX);Norwegian ;789;Blabla;Arrival
14:10;U28398;Split (SPU);easyJet ;A320 (OE-IVW) ;Blabla;Arrival
14:15;BA2761;Amsterdam (AMS);British Airways ;A319 (G-DBCG) ;Blabla;Arrival
14:20;U28894;Marrakesh (RAK);easyJet ;A320 (OE-IJG) ;Blabla;Arrival
14:20;VY6224;Rome (FCO);Vueling ;A320 (EC-KDX) ;Blabla;Arrival
14:25;BA2961;Glasgow (GLA);British Airways ;A319 (G-DBCH) ;Blabla;Arrival
14:25;D82805;Oslo (OSL);Norwegian (Roald Dahl Livery) ;B738 (EI-FJW) ;Blabla;Arrival
14:25;EI236;Dublin (DUB);Aer Lingus ;A320 (EI-DEG) ;Blabla;Arrival
14:25;FR122;Dublin (DUB);Ryanair ;B738 (EI-EFJ) ;Blabla;Arrival
14:30;U28172;Granada (GRX);easyJet ;A319 (OE-LQE) ;Blabla;Arrival
14:40;BA2645;Luqa (MLA);British Airways ;A320 (G-EUYM) ;Blabla;Arrival
14:40;U28196;Milan (MXP);easyJet (UNICEF Livery) ;A319 (G-EZIO) ;Blabla;Arrival
14:40;U28222;Valencia (VLC);easyJet ;A320 (OE-IZV) ;Blabla;Arrival
14:40;U28604;Malaga (AGP);easyJet ;A320 (G-EZWR) ;Blabla;Arrival
14:45;BA2543;Rome (FCO);British Airways ;A320 (G-GATP) ;Blabla;Arrival
14:45;BY4211;Santorini (JTR);TUI ;B738 (G-TAWV) ;Blabla;Arrival
14:45;U28150;Agadir (AGA);easyJet ;A20N (G-UZHM) ;Blabla;Arrival
14:45;U28536;Fuerteventura (FUE);easyJet ;A320 (G-EZWJ) ;Blabla;Arrival
14:55;BA2773;Jersey (JER);British Airways ;A319 (G-DBCC) ;Blabla;Arrival
14:55;BY4207;Zakynthos (ZTH);TUI ;B738 (G-TAWC) ;Blabla;Arrival
14:55;U28682;Lanzarote (ACE);easyJet ;A20N (G-UZHJ) ;Blabla;Arrival
15:05;VY6206;Florence (FLR);Vueling ;A319 (EC-MIQ) ;Blabla;Arrival
15:10;BA2547;Algiers (ALG);British Airways ;A320 (G-GATK) ;Blabla;Arrival
15:10;MT881;Enfidha (NBE);Thomas Cook Airlines ;A321 (G-TCVB) ;Blabla;Arrival
15:10;U28512;Krakow (KRK);easyJet ;A20N (G-UZHE) ;Blabla;Arrival
15:20;BY4279;Pula (PUY);TUI ;B789 (G-TUIL) ;Blabla;Arrival
15:20;U2806;Edinburgh (EDI);easyJet ;A319 (G-EZFT) ;Blabla;Arrival
15:20;U28254;Rome (FCO);easyJet ;A320 (G-EZTT) ;Blabla;Arrival
15:20;U28874;Amsterdam (AMS);easyJet ;A320 (G-EZTH) ;Blabla;Arrival
15:25;AT802;Casablanca (CMN);Royal Air Maroc ;B738 (CN-RGM) ;Blabla;Arrival
15:25;U28910;Pula (PUY);easyJet ;A320 (OE-IZW) ;Blabla;Arrival
15:30;BA2695;Faro (FAO);British Airways ;A320 (G-GATJ) ;Blabla;Arrival
15:30;U28386;Kefalonia (EFL);easyJet ;A321 (G-POWU) ;Blabla;Arrival
15:30;U28850;Izmir (ADB);easyJet ;A320 (OE-IZG) ;Blabla;Arrival
15:35;TP342;Lisbon (LIS);TAP Air Portugal ;A319 (CS-TTI) ;Blabla;Arrival
15:35;U28712;La Palma (SPC);easyJet ;A320 (OE-IVS) ;Blabla;Arrival
15:40;GR606;Guernsey (GCI);Aurigny Air Services ;E195 (G-NSEY) ;Blabla;Arrival
15:40;BY4215;Chania (CHQ);TUI ;B788 (G-TUIC) ;Blabla;Arrival
15:45;D82853;Stockholm (ARN);Norwegian ;B738 (EI-FVH) ;Blabla;Arrival
15:45;VY7314;Asturias (OVD);Vueling ;A320 (EC-MFK) ;Blabla;Arrival
15:50;D82557;Larnaca (LCA);Norwegian ;B738 (EI-FVK) ;Blabla;Arrival
15:50;U28136;Funchal (FNC);easyJet ;A320 (OE-INH) ;Blabla;Arrival
15:55;CI69;Taipei (TPE);China Airlines ;A359 (B-18916) ;Blabla;Arrival
16:00;BA2617;Cagliari (CAG);British Airways ;A320 (G-MEDK) ;Blabla;Arrival
16:00;SU6619;St. Petersburg (LED);Rossiya ;A319 (VP-BNB) ;Blabla;Arrival
16:00;TK1997;Istanbul (IST);Turkish Airlines ;A321 (TC-JSN) ;Blabla;Arrival
16:00;U28762;Heraklion (HER);easyJet ;A320 (OE-IVR) ;Blabla;Arrival
